nhood,open_overdue_rows,overdue_share,overdue_days_sum,overdue_days_median,overdue_days_p95
Northside,3020,0.9347682119205298,1403959.0,259.0,1570.0
Brighton,1389,0.9740820734341252,793516.0,379.0,1805.0
Near Westside,1388,0.9538904899135446,728028.0,314.0,1787.749999999998
Eastwood,824,0.9283980582524272,639981.0,529.5,3101.0
Southwest,799,0.9073842302878599,530680.0,528.0,1752.0
Elmwood,741,0.9541160593792173,497566.0,507.0,1847.0
Washington Square,1115,0.9327354260089686,486209.0,265.0,1494.0
Park Ave.,754,0.9549071618037135,482300.0,420.0,1820.0
Southside,752,0.976063829787234,472054.0,396.5,1855.0
Strathmore,552,0.9528985507246377,422253.0,586.5,1872.0
Lincoln Hill,543,0.9484346224677717,401879.0,356.0,2204.0
Skunk City,611,0.9378068739770867,383588.0,485.0,1811.0
North Valley,683,0.9707174231332357,360061.0,287.0,1452.0
Prospect Hill,495,0.9171717171717172,351194.0,546.0,2318.0
Downtown,442,0.9049773755656109,309939.0,472.0,1695.0
Far Westside,393,0.9491094147582697,274237.0,461.0,2073.0
Tipp Hill,362,0.9337016574585635,249990.0,407.5,1884.2499999999998
Hawley-Green,479,0.9269311064718163,220095.0,313.0,1539.3
Court-Woodlawn,437,0.919908466819222,218867.0,279.0,1602.0
Westcott,359,0.8161559888579387,218058.0,289.0,2563.0
Salt Springs,366,0.9562841530054644,216445.0,343.0,1792.25
Near Eastside,248,0.9475806451612904,206587.0,589.0,2750.0
University Hill,206,0.9174757281553398,143904.0,391.0,1873.0
Outer Comstock,196,0.9489795918367347,134602.0,786.0,1306.0
University Neighborhood,142,0.8802816901408451,120504.0,422.0,2468.1999999999975
South Valley,215,0.8837209302325582,107623.0,293.0,1768.0999999999995
Sedgwick,134,0.8880597014925373,98194.0,258.0,2638.0
Lakefront,95,0.9263157894736842,68856.0,449.0,2574.0
Meadowbrook,90,0.8888888888888888,67425.0,564.5,2577.0
Winkworth,44,0.9772727272727273,38000.0,405.5,2006.8000000000004
Franklin Square,39,1.0,23347.0,533.0,1326.7000000000003
South Campus,2,1.0,2548.0,1274.0,1500.8
