sbl,month,nhood,risk_score
063.-02-17.0,2024-12-01,South Valley,0.9868196208263453
063.-02-16.0,2024-12-01,South Valley,0.9827038768984189
114.-02-05.6,2024-12-01,Lakefront,0.9826782733647381
070.-02-04.0,2024-12-01,North Valley,0.9785829181744452
070.-03-01.0,2024-12-01,North Valley,0.9785275771536125
063.-02-19.0,2024-12-01,South Valley,0.9766169532130281
069.-02-16.0,2024-12-01,South Valley,0.9762534612566429
063.-02-15.0,2024-12-01,South Valley,0.9728212344650002
058.-09-19.0,2024-12-01,Outer Comstock,0.9680340883435422
072.-14-02.0,2024-12-01,North Valley,0.963787979291157
083.-08-24.0,2024-12-01,Elmwood,0.962264065045665
036.-08-01.0,2024-12-01,Salt Springs,0.961396196821734
013.-10-01.0,2024-12-01,Sedgwick,0.9594834635334515
018.-01-06.0,2024-12-01,Hawley-Green,0.9590572621716673
093.-02-34.0,2024-12-01,Near Westside,0.9588763434102454
103.-05-01.0,2024-12-01,Hawley-Green,0.9548029099072312
104.-19-03.4,2024-12-01,Downtown,0.9532814172140605
007.-12-01.0,2024-12-01,Washington Square,0.9502316919226005
075.-16-07.0,2024-12-01,Elmwood,0.9489372737121473
036.-01-18.0,2024-12-01,Near Eastside,0.9485627078155009
038.-16-05.0,2024-12-01,Meadowbrook,0.9450606832211519
092.-04-33.0,2024-12-01,Near Westside,0.9444080783779605
078.-11-10.0,2024-12-01,Brighton,0.9440798244451374
092.-04-34.0,2024-12-01,Near Westside,0.9428458109233199
002.-26-03.0,2024-12-01,Washington Square,0.942711982970145
092.-18-03.0,2024-12-01,Near Westside,0.9404631299524217
019.-06-21.0,2024-12-01,Sedgwick,0.9380903298957921
103.-03-01.0,2024-12-01,Hawley-Green,0.9367977278037889
008.-08-16.0,2024-12-01,Northside,0.935719748965319
092.-18-05.0,2024-12-01,Near Westside,0.9353843175246723
103.-05-10.0,2024-12-01,Hawley-Green,0.9339032300310104
071.-11-22.0,2024-12-01,North Valley,0.9325900265800928
114.-02-26.0,2024-12-01,Lakefront,0.9308815859620065
016.-18-23.0,2024-12-01,Northside,0.9298082709993216
103.-03-08.0,2024-12-01,Hawley-Green,0.9259804446694451
108.2-05-06.3,2024-12-01,Park Ave.,0.9235329442819646
003.-03-10.0,2024-12-01,Court-Woodlawn,0.922372079391401
073.-01-32.0,2024-12-01,North Valley,0.920525661540545
084.-28-13.0,2024-12-01,Southside,0.9185287835151118
028.-17-01.0,2024-12-01,Eastwood,0.9184933741194304
015.-01-30.0,2024-12-01,Northside,0.9180124739961355
009.-29-21.0,2024-12-01,Northside,0.9178082394148088
023.-14-24.0,2024-12-01,Eastwood,0.9176033824076636
118.-06-03.0,2024-12-01,Franklin Square,0.9148850244832225
